timestamp,if_score,if_flag,lstm_error,lstm_flag,both_flag,any_flag,confidence,month
2020-10-15 21:45:00+00:00,0.0238813215437803,0,0.027092742,0,0,0,0,10
2020-10-15 22:45:00+00:00,0.0256542599758036,0,0.0276601,0,0,0,0,10
2020-10-15 23:45:00+00:00,0.0260142343040924,0,0.026675006,0,0,0,0,10
2020-10-16 00:45:00+00:00,0.0263630179765251,0,0.021577202,0,0,0,0,10
2020-10-16 01:45:00+00:00,0.0298113280604885,0,0.020574383,0,0,0,0,10
2020-10-16 02:45:00+00:00,0.0316672637559082,0,0.021901874,0,0,0,0,10
2020-10-16 03:45:00+00:00,0.0320945685691753,0,0.022308942,0,0,0,0,10
2020-10-16 04:45:00+00:00,0.0325769810041559,0,0.021414714,0,0,0,0,10
2020-10-16 05:45:00+00:00,0.0325769810041559,0,0.01864216,0,0,0,0,10
2020-10-16 06:45:00+00:00,0.0317112227611225,0,0.014858777,0,0,0,0,10
2020-10-16 07:45:00+00:00,0.0274526140371246,0,0.015273446,0,0,0,0,10
2020-10-16 08:45:00+00:00,0.0247069103064446,0,0.016658867,0,0,0,0,10
2020-10-16 09:45:00+00:00,0.0242870238452032,0,0.017013686,0,0,0,0,10
2020-10-16 10:45:00+00:00,0.0264651811739853,0,0.016823748,0,0,0,0,10
2020-10-16 11:45:00+00:00,0.0310699832474917,0,0.016716141,0,0,0,0,10
2020-10-16 12:45:00+00:00,0.0299196230185826,0,0.016777417,0,0,0,0,10
2020-10-16 13:45:00+00:00,0.0166640225463984,0,0.018228909,0,0,0,0,10
2020-10-16 14:45:00+00:00,0.0170333250318435,0,0.018773507,0,0,0,0,10
2020-10-16 15:45:00+00:00,0.0191372777659859,0,0.018605176,0,0,0,0,10
2020-10-16 16:45:00+00:00,0.0210597269015637,0,0.01983331,0,0,0,0,10
2020-10-16 17:45:00+00:00,0.0213534394068375,0,0.021102153,0,0,0,0,10
2020-10-16 18:45:00+00:00,0.0201146591299956,0,0.024508055,0,0,0,0,10
2020-10-16 19:45:00+00:00,0.0221626610441124,0,0.025396207,0,0,0,0,10
2020-10-16 20:45:00+00:00,0.0219578987971632,0,0.025597263,0,0,0,0,10
2020-10-16 21:45:00+00:00,0.0218020974314145,0,0.025053177,0,0,0,0,10
2020-10-16 22:45:00+00:00,0.0218020974314145,0,0.02476569,0,0,0,0,10
2020-10-16 23:45:00+00:00,0.0218020974314145,0,0.024378395,0,0,0,0,10
2020-10-17 00:45:00+00:00,0.0218020974314145,0,0.024150781,0,0,0,0,10
2020-10-17 01:45:00+00:00,0.0220204154994289,0,0.02665426,0,0,0,0,10
2020-10-17 02:45:00+00:00,0.0225639717232229,0,0.0297595,0,0,0,0,10
2020-10-17 03:45:00+00:00,0.0201960784089493,0,0.03137176,0,0,0,0,10
2020-10-17 04:45:00+00:00,0.0201960784089493,0,0.03057704,0,0,0,0,10
2020-10-17 05:45:00+00:00,0.0184568120711128,0,0.026486877,0,0,0,0,10
2020-10-17 06:45:00+00:00,0.0136920382136778,0,0.021650761,0,0,0,0,10
2020-10-17 07:45:00+00:00,0.0104892397639755,0,0.02188753,0,0,0,0,10
2020-10-17 08:45:00+00:00,0.0074160572145675,0,0.023568474,0,0,0,0,10
2020-10-17 09:45:00+00:00,0.0048305777373037,0,0.024709344,0,0,0,0,10
2020-10-17 10:45:00+00:00,0.0054916549491857,0,0.02536533,0,0,0,0,10
2020-10-17 11:45:00+00:00,0.0006376914348835,0,0.026329858,0,0,0,0,10
2020-10-17 12:45:00+00:00,0.0004549506703956,0,0.026818646,0,0,0,0,10
2020-10-17 13:45:00+00:00,0.0114283379344397,0,0.025403326,0,0,0,0,10
2020-10-17 14:45:00+00:00,0.0159303097680868,0,0.029262843,0,0,0,0,10
2020-10-17 15:45:00+00:00,0.0174550477387109,0,0.034212016,0,0,0,0,10
2020-10-17 16:45:00+00:00,0.0167372974713523,0,0.03509026,0,0,0,0,10
2020-10-17 17:45:00+00:00,0.0136642196027004,0,0.03327213,0,0,0,0,10
2020-10-17 18:45:00+00:00,0.0061781895518913,0,0.027650265,0,0,0,0,10
2020-10-17 19:45:00+00:00,0.0020692616796639,0,0.026606996,0,0,0,0,10
2020-10-17 20:45:00+00:00,0.0020692616796639,0,0.026962735,0,0,0,0,10
2020-10-17 21:45:00+00:00,0.0025985470859231,0,0.026151996,0,0,0,0,10
2020-10-17 22:45:00+00:00,0.0050849098550102,0,0.024949396,0,0,0,0,10
2020-10-17 23:45:00+00:00,0.004364155584277,0,0.024014818,0,0,0,0,10
2020-10-18 00:45:00+00:00,0.0032175801306632,0,0.02417664,0,0,0,0,10
2020-10-18 01:45:00+00:00,0.0032175801306632,0,0.02578408,0,0,0,0,10
2020-10-18 02:45:00+00:00,0.0032175801306632,0,0.027202291,0,0,0,0,10
2020-10-18 03:45:00+00:00,0.0032175801306632,0,0.029259125,0,0,0,0,10
2020-10-18 04:45:00+00:00,0.0042944584749455,0,0.025786165,0,0,0,0,10
2020-10-18 05:45:00+00:00,0.0143192610316507,0,0.02303813,0,0,0,0,10
2020-10-18 06:45:00+00:00,0.0182416152888392,0,0.021014951,0,0,0,0,10
2020-10-18 07:45:00+00:00,0.0196975939337569,0,0.018991947,0,0,0,0,10
2020-10-18 08:45:00+00:00,0.0196825868349193,0,0.017195662,0,0,0,0,10
2020-10-18 09:45:00+00:00,0.0245132887126435,0,0.015035319,0,0,0,0,10
2020-10-18 10:45:00+00:00,0.0280101957241339,0,0.0128170485,0,0,0,0,10
2020-10-18 11:45:00+00:00,0.0210345439685379,0,0.011336567,0,0,0,0,10
2020-10-18 12:45:00+00:00,0.0212426403962864,0,0.007985006,0,0,0,0,10
2020-10-18 13:45:00+00:00,0.0168287106750332,0,0.006626506,0,0,0,0,10
2020-10-18 14:45:00+00:00,0.0288604763892922,0,0.004105537,0,0,0,0,10
2020-10-18 15:45:00+00:00,0.0338083675176194,0,0.0035535374,0,0,0,0,10
2020-10-18 16:45:00+00:00,0.0468075605397321,0,0.0033273844,0,0,0,0,10
